Wed Nov 28 19:14:18 2018
HotelID,Upload Status
72572,Success
72579,Success
72586,Success
72598,Success
73393,Success
73644,Success
73706,Success
73712,Success
73718,Success
73727,Success
73739,Success
73743,Success
73751,Success
73757,Success
73760,Success
73768,Success
73773,Success
73782,Success
73787,Success
73792,Success
73799,Success
73805,Success
73810,Success
73821,Success
73825,Success
73840,Success
73855,Success
73859,Success
73862,Success
73869,Success
73882,Success
73884,Success
73886,Success
73889,Success
73896,Success
73905,Success
73910,Success
73923,Success
73927,Success
73937,Success
73943,Success
73947,Success
73950,Success
73957,Success
73977,Success
73982,Success
73985,Success
74006,Success
74051,Success
74059,Success
